2023-11-01 15:31:45,544	[INFO]	Path to the temporal program variants: ./.pyggi/tmp_variants/sieve/1698852705
2023-11-01 15:31:45,544	[INFO]	./.pyggi/logs/sieve_1698852705.log
2023-11-01 15:31:45,711	[INFO]	The fitness value of original program: 5.0
2023-11-01 15:31:45,712	[INFO]	Epoch	Iter	Status	Fitness	Patch
2023-11-01 15:31:45,881	[INFO]	1	1	SUCCESS	6	StmtReplacement({'target': ('sieve.py', 1), 'ingredient': ('sieve.py', 5)})
2023-11-01 15:31:46,053	[INFO]	1	2	SUCCESS	5	StmtInsertion({'target': ('sieve.py', 5), 'ingredient': ('sieve.py', 1), 'direction': 'after'})
2023-11-01 15:31:46,232	[INFO]	1	3	SUCCESS	5	StmtReplacement({'target': ('sieve.py', 4), 'ingredient': ('sieve.py', 1)})
2023-11-01 15:31:46,411	[INFO]	1	4	SUCCESS	5	StmtInsertion({'target': ('sieve.py', 2), 'ingredient': ('sieve.py', 1), 'direction': 'after'})
2023-11-01 15:31:46,606	[INFO]	1	5	PROGRAM_ERROR	None	StmtDeletion({'target': ('sieve.py', 0)})
2023-11-01 15:31:46,775	[INFO]	1	6	SUCCESS	5	StmtReplacement({'target': ('sieve.py', 3), 'ingredient': ('sieve.py', 3)})
2023-11-01 15:31:46,944	[INFO]	1	7	SUCCESS	5	StmtInsertion({'target': ('sieve.py', 6), 'ingredient': ('sieve.py', 1), 'direction': 'after'})
2023-11-01 15:31:47,108	[INFO]	1	8	SUCCESS	5	StmtDeletion({'target': ('sieve.py', 2)})
2023-11-01 15:31:47,277	[INFO]	1	9	SUCCESS	5	StmtDeletion({'target': ('sieve.py', 6)})
2023-11-01 15:31:47,444	[INFO]	1	10	SUCCESS	*4	StmtReplacement({'target': ('sieve.py', 3), 'ingredient': ('sieve.py', 4)})
2023-11-01 15:31:47,609	[INFO]	1	11	SUCCESS	4	StmtReplacement({'target': ('sieve.py', 3), 'ingredient': ('sieve.py', 4)}) | StmtInsertion({'target': ('sieve.py', 5), 'ingredient': ('sieve.py', 0), 'direction': 'before'})
2023-11-01 15:31:47,777	[INFO]	1	12	SUCCESS	6	StmtReplacement({'target': ('sieve.py', 3), 'ingredient': ('sieve.py', 4)}) | StmtDeletion({'target': ('sieve.py', 5)})
2023-11-01 15:31:47,954	[INFO]	1	13	SUCCESS	4	StmtReplacement({'target': ('sieve.py', 3), 'ingredient': ('sieve.py', 4)}) | StmtInsertion({'target': ('sieve.py', 3), 'ingredient': ('sieve.py', 6), 'direction': 'before'})
2023-11-01 15:31:48,145	[INFO]	1	14	PROGRAM_ERROR	None	StmtReplacement({'target': ('sieve.py', 3), 'ingredient': ('sieve.py', 4)}) | StmtDeletion({'target': ('sieve.py', 0)})
2023-11-01 15:31:48,309	[INFO]	1	15	SUCCESS	5	StmtReplacement({'target': ('sieve.py', 3), 'ingredient': ('sieve.py', 4)}) | StmtDeletion({'target': ('sieve.py', 2)})
2023-11-01 15:31:48,487	[INFO]	1	16	SUCCESS	5	
2023-11-01 15:31:48,664	[INFO]	1	17	SUCCESS	4	StmtReplacement({'target': ('sieve.py', 3), 'ingredient': ('sieve.py', 4)}) | StmtInsertion({'target': ('sieve.py', 2), 'ingredient': ('sieve.py', 2), 'direction': 'after'})
2023-11-01 15:31:48,838	[INFO]	1	18	SUCCESS	5	StmtReplacement({'target': ('sieve.py', 3), 'ingredient': ('sieve.py', 4)}) | StmtDeletion({'target': ('sieve.py', 3)})
2023-11-01 15:31:49,009	[INFO]	1	19	SUCCESS	6	StmtReplacement({'target': ('sieve.py', 3), 'ingredient': ('sieve.py', 4)}) | StmtReplacement({'target': ('sieve.py', 5), 'ingredient': ('sieve.py', 6)})
2023-11-01 15:31:49,177	[INFO]	1	20	SUCCESS	4	StmtReplacement({'target': ('sieve.py', 3), 'ingredient': ('sieve.py', 4)}) | StmtReplacement({'target': ('sieve.py', 4), 'ingredient': ('sieve.py', 1)})
2023-11-01 15:31:49,343	[INFO]	1	21	SUCCESS	6	StmtReplacement({'target': ('sieve.py', 3), 'ingredient': ('sieve.py', 4)}) | StmtReplacement({'target': ('sieve.py', 5), 'ingredient': ('sieve.py', 2)})
2023-11-01 15:31:49,538	[INFO]	1	22	PROGRAM_ERROR	None	StmtReplacement({'target': ('sieve.py', 3), 'ingredient': ('sieve.py', 4)}) | StmtReplacement({'target': ('sieve.py', 0), 'ingredient': ('sieve.py', 1)})
2023-11-01 15:31:49,711	[INFO]	1	23	SUCCESS	4	StmtReplacement({'target': ('sieve.py', 3), 'ingredient': ('sieve.py', 4)}) | StmtInsertion({'target': ('sieve.py', 6), 'ingredient': ('sieve.py', 1), 'direction': 'before'})
2023-11-01 15:31:49,888	[INFO]	1	24	SUCCESS	4	StmtReplacement({'target': ('sieve.py', 3), 'ingredient': ('sieve.py', 4)}) | StmtReplacement({'target': ('sieve.py', 1), 'ingredient': ('sieve.py', 1)})
2023-11-01 15:31:50,063	[INFO]	1	25	SUCCESS	4	StmtReplacement({'target': ('sieve.py', 3), 'ingredient': ('sieve.py', 4)}) | StmtInsertion({'target': ('sieve.py', 3), 'ingredient': ('sieve.py', 1), 'direction': 'before'})
2023-11-01 15:31:50,244	[INFO]	1	26	SUCCESS	6	StmtReplacement({'target': ('sieve.py', 3), 'ingredient': ('sieve.py', 4)}) | StmtDeletion({'target': ('sieve.py', 1)})
2023-11-01 15:31:50,413	[INFO]	1	27	SUCCESS	4	StmtReplacement({'target': ('sieve.py', 3), 'ingredient': ('sieve.py', 4)}) | StmtDeletion({'target': ('sieve.py', 6)})
2023-11-01 15:31:50,645	[INFO]	1	28	PROGRAM_ERROR	None	StmtReplacement({'target': ('sieve.py', 3), 'ingredient': ('sieve.py', 4)}) | StmtInsertion({'target': ('sieve.py', 0), 'ingredient': ('sieve.py', 5), 'direction': 'after'})
2023-11-01 15:31:50,815	[INFO]	1	29	SUCCESS	4	StmtReplacement({'target': ('sieve.py', 3), 'ingredient': ('sieve.py', 4)}) | StmtInsertion({'target': ('sieve.py', 3), 'ingredient': ('sieve.py', 5), 'direction': 'after'})
2023-11-01 15:31:50,982	[INFO]	1	30	SUCCESS	4	StmtReplacement({'target': ('sieve.py', 3), 'ingredient': ('sieve.py', 4)}) | StmtInsertion({'target': ('sieve.py', 4), 'ingredient': ('sieve.py', 3), 'direction': 'after'})
2023-11-01 15:31:51,167	[INFO]	1	31	SUCCESS	4	StmtReplacement({'target': ('sieve.py', 3), 'ingredient': ('sieve.py', 4)}) | StmtInsertion({'target': ('sieve.py', 4), 'ingredient': ('sieve.py', 1), 'direction': 'before'})
2023-11-01 15:31:51,343	[INFO]	1	32	SUCCESS	4	StmtReplacement({'target': ('sieve.py', 3), 'ingredient': ('sieve.py', 4)}) | StmtReplacement({'target': ('sieve.py', 5), 'ingredient': ('sieve.py', 5)})
